statistic_label,year,nationality_of_ownership,expenditure,value
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities,500k-1.99M,320.0
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities,2M-4.99M,90.0
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities,5M+,94.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,Any,1488.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,0-99k,624.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,100k-499k,577.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,500k-1.99M,218.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,2M-4.99M,44.0
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,5M+,25.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,Any,387.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,0-99k,70.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,100k-499k,100.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,500k-1.99M,102.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,2M-4.99M,46.0
Enterprises Engaged in Research and Development Activities (Number),2015,Non-Irish ownership,5M+,69.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,Any,1784.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,0-99k,658.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,100k-499k,594.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,500k-1.99M,325.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,2M-4.99M,95.0
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities,5M+,112.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,Any,1455.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,0-99k,612.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,100k-499k,523.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,500k-1.99M,235.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,2M-4.99M,49.0
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,5M+,36.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,Any,329.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,0-99k,46.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,100k-499k,71.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,500k-1.99M,90.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,2M-4.99M,46.0
Enterprises Engaged in Research and Development Activities (Number),2017,Non-Irish ownership,5M+,76.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,Any,1798.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,0-99k,657.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,100k-499k,590.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,500k-1.99M,311.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,2M-4.99M,117.0
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities,5M+,123.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,Any,1322.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,0-99k,567.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,100k-499k,481.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,500k-1.99M,201.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,2M-4.99M,53.0
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,5M+,20.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,Any,476.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,0-99k,90.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,100k-499k,109.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,500k-1.99M,110.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,2M-4.99M,64.0
Enterprises Engaged in Research and Development Activities (Number),2019,Non-Irish ownership,5M+,104.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,Any,1931.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,0-99k,640.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,100k-499k,668.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,500k-1.99M,370.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,2M-4.99M,127.0
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities,5M+,126.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,Any,1345.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,0-99k,541.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,100k-499k,531.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,500k-1.99M,208.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,2M-4.99M,39.0
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,5M+,26.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,Any,585.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,0-99k,99.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,100k-499k,137.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,500k-1.99M,162.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,2M-4.99M,88.0
Enterprises Engaged in Research and Development Activities (Number),2021,Non-Irish ownership,5M+,100.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,Any,2351.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,0-99k,817.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,100k-499k,738.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,500k-1.99M,455.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,2M-4.99M,168.0
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities,5M+,173.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,Any,1706.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,0-99k,704.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,100k-499k,605.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,500k-1.99M,266.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,2M-4.99M,93.0
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,5M+,37.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,Any,645.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,0-99k,112.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,100k-499k,134.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,500k-1.99M,189.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,2M-4.99M,75.0
Enterprises Engaged in Research and Development Activities (Number),2023,Non-Irish ownership,5M+,136.0
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,0-99k,34.7
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,100k-499k,33.0
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,500k-1.99M,18.7
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,2M-4.99M,7.5
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities,5M+,6.1
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,0-99k,40.1
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,100k-499k,35.9
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,500k-1.99M,18.0
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,2M-4.99M,4.5
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,5M+,1.5
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,0-99k,23.4
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,100k-499k,27.0
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,500k-1.99M,20.3
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,2M-4.99M,13.9
Enterprises Engaged in Research and Development Activities (%),2007,Non-Irish ownership,5M+,15.7
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,0-99k,33.9
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,100k-499k,34.2
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,500k-1.99M,21.6
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,2M-4.99M,5.1
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities,5M+,5.2
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,0-99k,40.3
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,100k-499k,37.0
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,500k-1.99M,17.9
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,2M-4.99M,3.6
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,5M+,1.3
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,0-99k,15.4
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,100k-499k,26.3
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,500k-1.99M,32.3
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,2M-4.99M,9.4
Enterprises Engaged in Research and Development Activities (%),2009,Non-Irish ownership,5M+,16.6
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,0-99k,33.5
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,100k-499k,39.1
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,500k-1.99M,17.9
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,2M-4.99M,5.2
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities,5M+,4.3
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,0-99k,38.6
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,100k-499k,41.9
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,500k-1.99M,16.1
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,2M-4.99M,2.1
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,5M+,1.3
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,0-99k,18.9
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,100k-499k,30.9
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,500k-1.99M,23.0
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,2M-4.99M,14.1
Enterprises Engaged in Research and Development Activities (%),2011,Non-Irish ownership,5M+,12.9
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,0-99k,38.81
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,100k-499k,34.87
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,500k-1.99M,17.64
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,2M-4.99M,4.85
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities,5M+,3.84
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,0-99k,44.73
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,100k-499k,36.21
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,500k-1.99M,15.57
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,2M-4.99M,2.16
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,5M+,1.33
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,0-99k,15.8
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,100k-499k,29.63
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,500k-1.99M,25.68
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,2M-4.99M,15.31
Enterprises Engaged in Research and Development Activities (%),2013,Non-Irish ownership,5M+,13.58
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,0-99k,37.01
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,100k-499k,36.11
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,500k-1.99M,17.07
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,2M-4.99M,4.8
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities,5M+,5.01
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,0-99k,41.94
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,100k-499k,38.78
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,500k-1.99M,14.7
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,2M-4.99M,2.96
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,5M+,1.68
Enterprises Engaged in Research and Development Activities (%),2015,Non-Irish ownership,Any,100.0
Enterprises Engaged in Research and Development Activities (%),2015,Non-Irish ownership,0-99k,18.09
Enterprises Engaged in Research and Development Activities (%),2015,Non-Irish ownership,100k-499k,25.84
Enterprises Engaged in Research and Development Activities (%),2015,Non-Irish ownership,500k-1.99M,26.36
Enterprises Engaged in Research and Development Activities (%),2015,Non-Irish ownership,2M-4.99M,11.89
